ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Amsar,Amsar,rutu1240,Rutul,rut,Eurasia,41.60348,47.33116,Nakh-Daghestanian
Aran,Aran,rutu1240,Rutul,rut,Eurasia,41.67389,47.24639,Nakh-Daghestanian
Borch,Borch,borc1243,Borch,,Eurasia,41.4544,47.323,Nakh-Daghestanian
Dzhilikhur,Dzhilikhur,ixre1238,Ixreko-Muxrek,,Eurasia,41.65545,47.26768,Nakh-Daghestanian
Ikhrek,Ikhrek,ixre1238,Ixreko-Muxrek,,Eurasia,41.693931,47.210005,Nakh-Daghestanian
Kala,Kala,rutu1240,Rutul,rut,Eurasia,41.577819,47.3499843,Nakh-Daghestanian
Kazankulak,Kazankulak,rutu1240,Rutul,rut,Eurasia,43.52334,47.13435,Nakh-Daghestanian
Khnov,Khnov,borc1243,Borch,,Eurasia,41.378607,47.443605,Nakh-Daghestanian
Khnyukh,Khnyukh,rutu1240,Rutul,rut,Eurasia,41.58289,47.43299,Nakh-Daghestanian
Kiche,Kiche,rutu1240,Rutul,rut,Eurasia,41.53146,47.48171,Nakh-Daghestanian
Kina,Kina,rutu1240,Rutul,rut,Eurasia,41.6166,47.2647,Nakh-Daghestanian
Kufa,Kufa,rutu1240,Rutul,rut,Eurasia,41.564115,47.376937,Nakh-Daghestanian
Luchek,Luchek,rutu1240,Rutul,rut,Eurasia,41.60988,47.307307,Nakh-Daghestanian
Myukhrek,Myukhrek,ixre1238,Ixreko-Muxrek,,Eurasia,41.68,47.29,Nakh-Daghestanian
Novyy-Borch,Novyy Borch,rutu1240,Rutul,rut,Eurasia,43.48722,47.04556,Nakh-Daghestanian
Rutul,Rutul,rutu1240,Rutul,rut,Eurasia,41.5342,47.4269,Nakh-Daghestanian
Shinaz,Shinaz,shin1265,Shina (Nakh-Daghestan),,Eurasia,41.618658,47.375666,Nakh-Daghestanian
Tsudik,Tsudik,ixre1238,Ixreko-Muxrek,,Eurasia,41.66611,47.28056,Nakh-Daghestanian
Vrush,Vrush,rutu1240,Rutul,rut,Eurasia,41.646787,47.310094,Nakh-Daghestanian
